18	6	E	-2.2192854617465788E8	200
transitionprobs	9	5	0.0
transitionprobs	9	6	0.016828770396775508
transitionprobs	9	7	0.003011379447375912
transitionprobs	9	8	0.007109368947354883
transitionprobs	9	9	0.7154020462681632
transitionprobs	9	10	0.0841919735706262
transitionprobs	9	11	0.12409850975440757
transitionprobs	9	12	4.155135834418406E-4
transitionprobs	9	13	3.6269673476774786E-4
transitionprobs	9	14	0.0
transitionprobs	9	15	4.7013843799568995E-4
transitionprobs	9	16	0.0
transitionprobs	9	17	0.0
transitionprobs	9	18	0.004025118834376266
transitionprobs	10	1	0.0094178614899259
transitionprobs	10	2	4.485799387968546E-4
transitionprobs	10	3	0.009236691331163336
transitionprobs	10	4	0.0
transitionprobs	10	5	1.117901441232014E-4
transitionprobs	10	6	0.08666326439198654
transitionprobs	10	7	0.005137066496790312
transitionprobs	10	8	0.0031183636185717427
transitionprobs	10	9	0.10331585856740348
transitionprobs	10	10	0.7238162546427526
transitionprobs	10	11	0.0033839371228004053
transitionprobs	10	12	0.0012230370891117255
transitionprobs	10	13	0.002666273355091548
transitionprobs	10	14	2.4884633954609163E-5
transitionprobs	10	15	3.798202401761572E-4
transitionprobs	10	16	3.867228650388642E-5
transitionprobs	10	17	0.004170492064478352
transitionprobs	10	18	0.046847152586369276
transitionprobs	11	1	2.237768673335027E-4
transitionprobs	11	2	0.002390230158939005
transitionprobs	11	3	0.006031803795134721
transitionprobs	11	4	0.021018077764844028
transitionprobs	11	5	0.0
transitionprobs	11	6	0.10881344972525532
transitionprobs	11	7	0.004463855406332954
transitionprobs	11	8	0.0
transitionprobs	11	9	0.045972662348079424
transitionprobs	11	10	0.00103721151137841
transitionprobs	11	11	0.7201632420117274
transitionprobs	11	12	4.3595677546863655E-4
transitionprobs	11	13	9.195217616944431E-4
transitionprobs	11	14	4.2577261456373996E-7
transitionprobs	11	15	0.002053756851102297
transitionprobs	11	16	0.0
transitionprobs	11	17	0.019871268508920032
transitionprobs	11	18	0.06660476074117541
transitionprobs	12	1	5.685725775015244E-5
transitionprobs	12	2	3.502514939934928E-4
transitionprobs	12	3	3.6020640877170605E-5
transitionprobs	12	4	1.7874882426240562E-4
transitionprobs	12	5	0.002968275852989942
transitionprobs	12	6	0.015226665927552825
transitionprobs	12	7	2.4374651282732366E-5
transitionprobs	12	8	7.932584857876962E-5
transitionprobs	12	9	2.867502136285223E-4
transitionprobs	12	10	6.700520257977333E-4
transitionprobs	12	11	8.888101280650401E-4
transitionprobs	12	12	0.8396449780334043
transitionprobs	12	13	0.11102303078883433
transitionprobs	12	14	3.4144288651658075E-4
transitionprobs	12	15	3.121013906525818E-5
transitionprobs	12	16	8.008746786714025E-4
transitionprobs	12	17	0.010590480112447353
transitionprobs	12	18	0.01680185049628204
transitionprobs	13	1	0.0
transitionprobs	13	2	5.499192759653901E-5
transitionprobs	13	3	0.0
transitionprobs	13	4	3.643900652490403E-8
transitionprobs	13	5	0.0
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	5.601784408579125E-5
transitionprobs	13	10	2.6281323334440123E-4
transitionprobs	13	11	2.999462527495495E-4
transitionprobs	13	12	0.019422024797176956
transitionprobs	13	13	0.9543200027250265
transitionprobs	13	14	3.984055765229982E-5
transitionprobs	13	15	0.0
